data,cotacao_compra,cotacao_venda
2026-04-22 10:08:26.350,5.8288,5.8305
2026-04-22 11:04:25.734,5.8179,5.8196
2026-04-22 12:08:26.754,5.8224,5.8236
2026-04-22 13:11:28.351,5.8145,5.8156
2026-04-22 13:11:28.361,5.8152,5.8164
2026-04-23 10:05:25.167,5.7921,5.7938
2026-04-23 11:07:25.391,5.7908,5.792
2026-04-23 12:04:30.657,5.7972,5.7988
2026-04-23 13:03:26.082,5.799,5.8006
2026-04-23 13:03:26.089,5.7968,5.7985
2026-04-24 10:10:25.142,5.863,5.8643
2026-04-24 11:09:24.877,5.8724,5.8746
2026-04-24 12:07:25.864,5.8622,5.8635
2026-04-24 13:06:16.164,5.8566,5.8583
2026-04-24 13:06:16.172,5.8675,5.8692
2026-04-27 10:09:27.867,5.8304,5.8316
2026-04-27 11:11:26.080,5.8386,5.8403
2026-04-27 12:09:24.888,5.8319,5.8331
2026-04-27 13:06:14.089,5.8299,5.8311
2026-04-27 13:06:14.100,5.8291,5.8303
2026-04-28 10:06:25.485,5.8254,5.8271
2026-04-28 11:08:25.203,5.8301,5.8328
2026-04-28 12:05:26.290,5.8539,5.8551
2026-04-28 13:10:26.451,5.8335,5.8347
2026-04-28 13:10:26.457,5.842,5.8432
2026-04-29 10:04:25.815,5.8433,5.8445
2026-04-29 11:04:24.850,5.8483,5.85
2026-04-29 12:03:25.899,5.8436,5.8448
2026-04-29 13:11:25.347,5.8452,5.8464
2026-04-29 13:11:25.357,5.8445,5.8457
2026-04-30 10:05:25.575,5.8359,5.8376
2026-04-30 11:08:25.949,5.8388,5.8405
2026-04-30 12:10:26.604,5.8435,5.8452
2026-04-30 13:06:27.514,5.843,5.8442
2026-04-30 13:06:27.523,5.8499,5.8511
2026-05-04 10:03:33.587,5.8017,5.8034
2026-05-04 11:06:26.940,5.8089,5.8106
2026-05-04 12:10:27.628,5.7966,5.7983
2026-05-04 13:09:25.780,5.8085,5.8097
2026-05-04 13:09:25.789,5.7995,5.8007
2026-05-05 10:07:27.367,5.7719,5.7731
2026-05-05 11:03:26.006,5.7613,5.7625
2026-05-05 12:05:46.122,5.7631,5.7643
2026-05-05 13:04:25.961,5.7473,5.7485
2026-05-05 13:04:25.969,5.7636,5.7648
2026-05-06 10:10:27.392,5.7942,5.7954
2026-05-06 11:08:26.840,5.7877,5.7894
2026-05-06 12:03:27.940,5.7871,5.7888
2026-05-06 13:08:27.854,5.791,5.7922
2026-05-06 13:08:27.861,5.79,5.7912
2026-05-07 10:11:26.045,5.7713,5.7725
2026-05-07 11:11:25.883,5.7873,5.7885
2026-05-07 12:08:24.189,5.7925,5.7937
2026-05-07 13:09:28.682,5.7949,5.7961
2026-05-07 13:09:28.692,5.7832,5.7844
2026-05-08 10:09:27.098,5.7774,5.7791
2026-05-08 11:03:26.416,5.7672,5.7684
2026-05-08 12:11:26.085,5.7643,5.766
2026-05-08 13:05:32.394,5.7653,5.767
2026-05-08 13:05:32.403,5.7675,5.7691
2026-05-11 10:08:26.138,5.7694,5.7711
2026-05-11 11:06:26.052,5.763,5.7642
2026-05-11 12:02:27.362,5.7689,5.7701
2026-05-11 13:08:25.127,5.7703,5.772
2026-05-11 13:08:25.140,5.7678,5.7695
2026-05-12 10:02:27.382,5.7442,5.7458
2026-05-12 11:06:25.701,5.7465,5.7482
2026-05-12 12:10:49.817,5.752,5.7537
2026-05-12 13:11:27.352,5.7462,5.7474
2026-05-12 13:11:27.361,5.7453,5.7465
2026-05-13 10:10:25.510,5.7507,5.7524
2026-05-13 11:04:25.381,5.7565,5.7582
2026-05-13 12:06:25.741,5.7477,5.7489
2026-05-13 13:17:55.033,5.7427,5.744
2026-05-13 13:17:55.038,5.751,5.7522
2026-05-14 10:06:25.430,5.8235,5.8247
2026-05-14 11:09:26.066,5.8241,5.8258
2026-05-14 12:06:25.317,5.8176,5.8188
2026-05-14 13:03:15.174,5.8128,5.814
2026-05-14 13:03:15.182,5.8155,5.8167
2026-05-15 10:11:26.728,5.8764,5.8776
2026-05-15 11:08:25.456,5.8902,5.8919
2026-05-15 12:04:26.370,5.8922,5.8934
2026-05-15 13:08:27.385,5.8946,5.8963
2026-05-15 13:08:27.392,5.8883,5.89
2026-05-18 10:06:26.682,5.8341,5.8358
2026-05-18 11:07:25.982,5.8374,5.8386
2026-05-18 12:11:25.732,5.8335,5.8352
2026-05-18 13:04:25.954,5.8305,5.8322
2026-05-18 13:04:25.962,5.8341,5.8358
2026-05-19 10:09:26.286,5.8437,5.8454
2026-05-19 11:07:25.781,5.833,5.8342
2026-05-19 12:10:20.890,5.8532,5.8549
2026-05-19 13:09:25.926,5.8553,5.8565
2026-05-19 13:09:25.933,5.8442,5.8454
2026-05-20 10:05:27.262,5.8522,5.8534
2026-05-20 11:07:25.762,5.8426,5.8438
2026-05-20 12:06:26.154,5.826,5.8272
2026-05-20 13:05:27.739,5.8255,5.8272
2026-05-20 13:05:27.747,5.8433,5.845
