data,cotacao_compra,cotacao_venda
2026-04-22 10:08:26.350,6.7076,6.7089
2026-04-22 11:04:25.734,6.6985,6.7008
2026-04-22 12:08:26.754,6.7069,6.7092
2026-04-22 13:11:28.351,6.703,6.7058
2026-04-22 13:11:28.361,6.7038,6.7066
2026-04-23 10:05:25.167,6.6814,6.6837
2026-04-23 11:07:25.391,6.6853,6.6876
2026-04-23 12:04:30.657,6.6878,6.6901
2026-04-23 13:03:26.082,6.6854,6.6877
2026-04-23 13:03:26.089,6.683,6.6853
2026-04-24 10:10:25.142,6.7599,6.7627
2026-04-24 11:09:24.877,6.7709,6.7723
2026-04-24 12:07:25.864,6.7602,6.7625
2026-04-24 13:06:16.164,6.7553,6.7566
2026-04-24 13:06:16.172,6.7679,6.7692
2026-04-27 10:09:27.867,6.7255,6.7273
2026-04-27 11:11:26.080,6.7369,6.7382
2026-04-27 12:09:24.888,6.7353,6.7376
2026-04-27 13:06:14.089,6.7335,6.7378
2026-04-27 13:06:14.100,6.7325,6.7368
2026-04-28 10:06:25.485,6.7195,6.7218
2026-04-28 11:08:25.203,6.7269,6.7292
2026-04-28 12:05:26.290,6.7519,6.7542
2026-04-28 13:10:26.451,6.7283,6.7297
2026-04-28 13:10:26.457,6.7382,6.7395
2026-04-29 10:04:25.815,6.7433,6.7447
2026-04-29 11:04:24.850,6.744,6.7453
2026-04-29 12:03:25.899,6.7431,6.7444
2026-04-29 13:11:25.347,6.7415,6.7443
2026-04-29 13:11:25.357,6.7407,6.7435
2026-04-30 10:05:25.575,6.7444,6.7467
2026-04-30 11:08:25.949,6.7499,6.7527
2026-04-30 12:10:26.604,6.769,6.7703
2026-04-30 13:06:27.514,6.7642,6.7655
2026-04-30 13:06:27.523,6.7722,6.7735
2026-05-04 10:03:33.587,6.7169,6.7192
2026-05-04 11:06:26.940,6.7235,6.7258
2026-05-04 12:10:27.628,6.7107,6.7125
2026-05-04 13:09:25.780,6.7192,6.721
2026-05-04 13:09:25.789,6.7088,6.7106
2026-05-05 10:07:27.367,6.6851,6.6879
2026-05-05 11:03:26.006,6.6749,6.6791
2026-05-05 12:05:46.122,6.6773,6.6796
2026-05-05 13:04:25.961,6.6644,6.6657
2026-05-05 13:04:25.969,6.6833,6.6846
2026-05-06 10:10:27.392,6.7098,6.7126
2026-05-06 11:08:26.840,6.7014,6.7042
2026-05-06 12:03:27.940,6.6974,6.6987
2026-05-06 13:08:27.854,6.6987,6.701
2026-05-06 13:08:27.861,6.6975,6.6998
2026-05-07 10:11:26.045,6.6778,6.6801
2026-05-07 11:11:25.883,6.6971,6.6994
2026-05-07 12:08:24.189,6.704,6.7063
2026-05-07 13:09:28.682,6.7034,6.7047
2026-05-07 13:09:28.692,6.6897,6.6911
2026-05-08 10:09:27.098,6.6798,6.6821
2026-05-08 11:03:26.416,6.6711,6.6734
2026-05-08 12:11:26.085,6.6706,6.6719
2026-05-08 13:05:32.394,6.6719,6.6732
2026-05-08 13:05:32.403,6.6743,6.6756
2026-05-11 10:08:26.138,6.6695,6.6708
2026-05-11 11:06:26.052,6.6603,6.665
2026-05-11 12:02:27.362,6.6798,6.6811
2026-05-11 13:08:25.127,6.6859,6.6882
2026-05-11 13:08:25.140,6.683,6.6853
2026-05-12 10:02:27.382,6.6195,6.6217
2026-05-12 11:06:25.701,6.6185,6.6208
2026-05-12 12:10:49.817,6.6294,6.6307
2026-05-12 13:11:27.352,6.6244,6.6257
2026-05-12 13:11:27.361,6.6233,6.6246
2026-05-13 10:10:25.510,6.6299,6.6322
2026-05-13 11:04:25.381,6.6429,6.6457
2026-05-13 12:06:25.741,6.6339,6.6361
2026-05-13 13:17:55.033,6.6299,6.6313
2026-05-13 13:17:55.038,6.6395,6.6408
2026-05-14 10:06:25.430,6.7251,6.7264
2026-05-14 11:09:26.066,6.7251,6.7284
2026-05-14 12:06:25.317,6.7168,6.7181
2026-05-14 13:03:15.174,6.7084,6.7107
2026-05-14 13:03:15.182,6.7115,6.7138
2026-05-15 10:11:26.728,6.7488,6.7511
2026-05-15 11:08:25.456,6.7603,6.7616
2026-05-15 12:04:26.370,6.7606,6.763
2026-05-15 13:08:27.385,6.7591,6.7604
2026-05-15 13:08:27.392,6.7519,6.7532
2026-05-18 10:06:26.682,6.7074,6.7103
2026-05-18 11:07:25.982,6.7082,6.711
2026-05-18 12:11:25.732,6.711,6.7138
2026-05-18 13:04:25.954,6.7155,6.7188
2026-05-18 13:04:25.962,6.7197,6.723
2026-05-19 10:09:26.286,6.7438,6.7466
2026-05-19 11:07:25.781,6.73,6.7319
2026-05-19 12:10:20.890,6.7598,6.7621
2026-05-19 13:09:25.926,6.7617,6.764
2026-05-19 13:09:25.933,6.7488,6.7512
2026-05-20 10:05:27.262,6.7613,6.7636
2026-05-20 11:07:25.762,6.751,6.7534
2026-05-20 12:06:26.154,6.7368,6.7381
2026-05-20 13:05:27.739,6.7396,6.7409
2026-05-20 13:05:27.747,6.7602,6.7615
