data,cotacao_compra,cotacao_venda
2026-04-22 10:08:26.350,4.9704,4.971
2026-04-22 11:04:25.734,4.9556,4.9562
2026-04-22 12:08:26.754,4.9688,4.9694
2026-04-22 13:11:28.351,4.9641,4.9647
2026-04-22 13:11:28.361,4.9647,4.9653
2026-04-23 10:05:25.167,4.9543,4.9549
2026-04-23 11:07:25.391,4.9532,4.9538
2026-04-23 12:04:30.657,4.9506,4.9512
2026-04-23 13:03:26.082,4.9551,4.9557
2026-04-23 13:03:26.089,4.9533,4.9539
2026-04-24 10:10:25.142,5.0073,5.0079
2026-04-24 11:09:24.877,5.017,5.0176
2026-04-24 12:07:25.864,5.0079,5.0085
2026-04-24 13:06:16.164,4.9984,4.999
2026-04-24 13:06:16.172,5.0077,5.0083
2026-04-27 10:09:27.867,4.9646,4.9652
2026-04-27 11:11:26.080,4.9737,4.9743
2026-04-27 12:09:24.888,4.9692,4.9698
2026-04-27 13:06:14.089,4.9701,4.9707
2026-04-27 13:06:14.100,4.9694,4.97
2026-04-28 10:06:25.485,4.9807,4.9813
2026-04-28 11:08:25.203,4.9851,4.9857
2026-04-28 12:05:26.290,5.0029,5.0035
2026-04-28 13:10:26.451,4.9799,4.9805
2026-04-28 13:10:26.457,4.9872,4.9878
2026-04-29 10:04:25.815,4.9947,4.9953
2026-04-29 11:04:24.850,5.0037,5.0043
2026-04-29 12:03:25.899,4.9945,4.9951
2026-04-29 13:11:25.347,4.9985,4.9991
2026-04-29 13:11:25.357,4.9979,4.9985
2026-04-30 10:05:25.575,4.9914,4.992
2026-04-30 11:08:25.949,4.9951,4.9957
2026-04-30 12:10:26.604,4.9834,4.984
2026-04-30 13:06:27.514,4.9821,4.9827
2026-04-30 13:06:27.523,4.988,4.9886
2026-05-04 10:03:33.587,4.9553,4.9559
2026-05-04 11:06:26.940,4.9594,4.96
2026-05-04 12:10:27.628,4.9518,4.9524
2026-05-04 13:09:25.780,4.9658,4.9664
2026-05-04 13:09:25.789,4.9581,4.9587
2026-05-05 10:07:27.367,4.9366,4.9372
2026-05-05 11:03:26.006,4.925,4.9256
2026-05-05 12:05:46.122,4.9232,4.9238
2026-05-05 13:04:25.961,4.9097,4.9103
2026-05-05 13:04:25.969,4.9236,4.9242
2026-05-06 10:10:27.392,4.9304,4.931
2026-05-06 11:08:26.840,4.9257,4.9263
2026-05-06 12:03:27.940,4.9235,4.9241
2026-05-06 13:08:27.854,4.9277,4.9283
2026-05-06 13:08:27.861,4.9268,4.9274
2026-05-07 10:11:26.045,4.9026,4.9032
2026-05-07 11:11:25.883,4.9178,4.9184
2026-05-07 12:08:24.189,4.9189,4.9195
2026-05-07 13:09:28.682,4.9264,4.927
2026-05-07 13:09:28.692,4.9164,4.917
2026-05-08 10:09:27.098,4.9073,4.9079
2026-05-08 11:03:26.416,4.8962,4.8968
2026-05-08 12:11:26.085,4.8962,4.8968
2026-05-08 13:05:32.394,4.8975,4.8981
2026-05-08 13:05:32.403,4.8993,4.8999
2026-05-11 10:08:26.138,4.9001,4.9007
2026-05-11 11:06:26.052,4.8901,4.8907
2026-05-11 12:02:27.362,4.8976,4.8982
2026-05-11 13:08:25.127,4.8988,4.8994
2026-05-11 13:08:25.140,4.8967,4.8973
2026-05-12 10:02:27.382,4.8899,4.8905
2026-05-12 11:06:25.701,4.899,4.8996
2026-05-12 12:10:49.817,4.9016,4.9022
2026-05-12 13:11:27.352,4.8979,4.8985
2026-05-12 13:11:27.361,4.8971,4.8977
2026-05-13 10:10:25.510,4.9147,4.9153
2026-05-13 11:04:25.381,4.9163,4.9169
2026-05-13 12:06:25.741,4.9096,4.9102
2026-05-13 13:17:55.033,4.9041,4.9048
2026-05-13 13:17:55.038,4.9112,4.9118
2026-05-14 10:06:25.430,4.9786,4.9792
2026-05-14 11:09:26.066,4.983,4.9836
2026-05-14 12:06:25.317,4.9817,4.9823
2026-05-14 13:03:15.174,4.978,4.9786
2026-05-14 13:03:15.182,4.9803,4.9809
2026-05-15 10:11:26.728,5.0545,5.0551
2026-05-15 11:08:25.456,5.0677,5.0683
2026-05-15 12:04:26.370,5.0668,5.0674
2026-05-15 13:08:27.385,5.0702,5.0708
2026-05-15 13:08:27.392,5.0648,5.0654
2026-05-18 10:06:26.682,5.0078,5.0084
2026-05-18 11:07:25.982,5.0102,5.0108
2026-05-18 12:11:25.732,5.0112,5.0118
2026-05-18 13:04:25.954,5.0056,5.0062
2026-05-18 13:04:25.962,5.0087,5.0093
2026-05-19 10:09:26.286,5.0312,5.0318
2026-05-19 11:07:25.781,5.0228,5.0234
2026-05-19 12:10:20.890,5.048,5.0486
2026-05-19 13:09:25.926,5.0468,5.0474
2026-05-19 13:09:25.933,5.0372,5.0378
2026-05-20 10:05:27.262,5.0476,5.0482
2026-05-20 11:07:25.762,5.0411,5.0417
2026-05-20 12:06:26.154,5.0151,5.0157
2026-05-20 13:05:27.739,5.0142,5.0148
2026-05-20 13:05:27.747,5.0295,5.0301
